Classification_Size,Classification_Focus,Research_Intensity,Status,Academic_Reputation_Score,Employer_Reputation_Score,Faculty_Student_Score,Citations_Per_Faculty_Score,International_Faculty_Score,International_Student_Score,Overall_Score
L,FC,HI,A,34.6,60.9,35.4,20.5,15.1,23.5,33.1
L,FC,LO,B,24.2,66.9,76.9,1.2,62.4,19.5,33
M,CO,VH,B,16.6,22.2,23.7,78.2,26.4,47.7,33
L,FC,VH,A,34.7,43.6,13.9,33.7,88.3,14.6,33
L,FC,HI,A,19.4,16.4,13.4,56.8,91.5,96.2,32.9
S,FO,VH,A,14.9,11.7,100.0,23.9,3.5,14.1,32.9
XL,FC,MD,A,46.0,56.6,40.7,2.1,1.9,1.5,32.9
M,FC,HI,A,18.5,5.4,96.7,10.0,41.0,29.0,32.9
XL,FC,VH,A,33.2,40.4,22.6,44.1,19.8,23.4,32.9
M,SP,VH,A,13.8,93.7,5.5,34.9,100.0,95.9,32.8
M,CO,VH,A,17.6,54.1,14.1,40.2,95.8,87.2,32.5
M,SP,LO,A,14.3,36.9,99.2,1.0,10.3,50.1,32.5
M,FO,VH,A,13.7,23.3,94.1,3.9,39.1,62.3,32.5
L,CO,VH,A,26.9,36.7,65.6,15.9,5.3,28.7,32.5
L,CO,VH,A,24.6,22.2,30.8,24.5,97.6,89.5,32.5
L,FC,VH,A,31.3,30.5,27.8,30.8,67.1,32.9,32.4
L,FC,VH,A,24.5,47.3,31.9,26.9,74.3,42.8,32.2
M,CO,VH,A,13.3,20.8,84.8,24.7,34.8,20.8,32.1
XL,CO,VH,A,36.4,43.5,10.3,42.3,12.6,38.4,32
L,FO,VH,A,21.8,31.6,92.8,1.5,8.4,12.6,31.9
L,FC,VH,A,26.7,6.8,35.2,43.3,10.1,85.0,31.9
L,FO,VH,A,25.6,20.7,41.2,26.0,73.5,41.5,31.6
M,CO,VH,A,31.3,23.8,38.7,21.8,56.1,32.9,31.5
M,FO,VH,A,10.9,26.9,93.5,2.4,19.2,81.8,31.3
L,FC,VH,A,20.2,15.2,78.2,21.5,16.3,16.8,31.3
M,CO,VH,A,29.9,20.7,27.0,52.2,17.9,8.2,31.2
M,FO,VH,A,24.9,84.2,16.4,32.0,30.6,30.1,31.2
M,FC,HI,A,19.5,24.7,47.9,11.7,100.0,76.3,31.1
L,CO,HI,A,22.2,46.3,35.8,17.3,78.4,57.2,31
M,CO,VH,A,32.5,17.3,31.7,40.3,15.6,19.6,31
L,FC,VH,A,21.2,11.1,60.1,38.2,16.3,17.2,31
L,FC,VH,A,12.1,11.5,100.0,18.8,4.4,15.5,30.8
M,CO,HI,B,31.0,49.3,37.1,5.1,90.7,5.8,30.7
M,CO,VH,B,23.6,13.9,19.0,49.7,21.4,100.0,30.7
L,CO,MD,B,18.7,31.5,78.3,2.1,37.9,39.0,30.6
M,FO,VH,A,27.3,13.2,25.5,19.7,85.0,97.2,30.5
XL,FC,HI,A,27.9,25.2,48.7,20.1,35.1,24.6,30.5
M,FO,VH,B,15.5,14.8,84.7,18.7,24.4,17.3,30.5
L,CO,VH,A,15.8,17.6,2.3,79.5,10.4,26.9,30.1
L,FO,VH,A,26.9,18.3,11.3,63.7,1.6,2.6,30.3
L,FO,VH,A,15.9,11.7,93.8,2.2,12.7,56.5,29.9
XL,FC,VH,A,23.6,15.0,6.3,56.7,27.3,35.3,30.2
M,CO,MD,B,23.9,15.8,99.8,1.0,10.6,2.9,30
XL,FC,MD,A,23.8,15.3,24.0,1.5,23.5,2.4,30.2
L,FC,VH,A,30.2,12.6,17.7,25.3,8.3,41.2,29.8
L,FC,MD,A,30.9,11.7,78.0,1.8,1.3,89.9,29.9
L,FC,HI,A,31.1,20.5,69.1,5.1,7.0,4.6,30
L,FC,VH,A,15.7,11.6,22.5,32.0,66.8,12.7,30.4
M,FC,MD,B,14.9,10.5,20.3,12.4,100.0,100.0,29.5
S,CO,MD,A,21.9,13.0,69.7,2.6,99.5,100.0,29.2
M,CO,HI,B,17.0,15.0,28.4,44.1,15.1,83.7,29.4
M,FO,HI,A,21.6,11.8,97.1,1.0,2.5,3.5,29.7
L,CO,HI,A,19.9,15.1,69.4,2.4,1.6,4.9,29.4
XL,CO,MD,A,29.2,18.5,37.2,1.8,27.9,1.8,29.4
XL,FC,VH,A,18.6,15.2,13.8,26.1,26.3,36.2,29.7
M,FC,VH,A,25.7,16.3,52.1,33.7,30.5,8.5,29.3
XL,CO,VH,A,19.2,16.8,29.1,7.3,8.0,10.8,29.2
M,FC,VH,B,30.8,16.9,100.0,21.6,7.5,17.1,29.2
M,CO,VH,B,24.6,7.6,18.0,26.2,62.5,13.2,29.1
M,SP,HI,A,19.8,18.6,28.9,6.0,23.1,27.5,28.9
XL,CO,VH,A,18.0,12.1,38.6,16.1,24.1,3.3,29
L,CO,VH,A,25.9,13.8,14.0,36.8,97.3,83.7,29
XL,FC,VH,A,26.5,9.6,18.4,36.0,66.1,13.6,29.1
XL,FC,VH,A,15.5,12.3,9.0,22.4,10.2,6.2,28.9
L,FC,VH,A,20.0,12.7,28.8,44.7,56.9,26.1,29.1
L,CO,VH,A,28.4,5.5,11.1,76.3,33.6,25.8,28.8
XL,FC,VH,A,14.2,8.9,30.8,41.6,7.5,29.1,28.8
L,CO,VH,A,16.4,18.3,7.3,65.7,23.0,70.8,29.1
S,FC,HI,B,29.0,18.4,58.7,15.0,98.7,94.4,28.4
L,FC,VH,A,19.3,9.7,57.1,23.5,11.9,14.7,28.4
XL,CO,VH,A,21.5,13.4,6.8,27.1,75.3,87.5,28.5
XL,FC,HI,A,20.3,18.7,11.6,44.1,10.4,6.8,28.7
M,FO,VH,A,24.5,6.8,14.1,81.8,1.9,2.1,28.4
M,CO,HI,B,16.3,17.9,45.6,16.2,42.6,10.5,28.5
M,CO,VH,A,28.7,19.5,74.6,6.4,3.3,4.5,28.3
L,FO,MD,B,15.7,12.4,18.7,1.8,5.5,3.9,28.7
L,FC,HI,A,23.1,11.1,34.4,30.3,66.0,66.7,28.3
M,FO,MD,B,18.5,5.6,64.0,1.1,34.2,95.4,28.4
XL,FC,VH,A,12.6,9.6,24.8,43.8,10.6,8.0,28.3
L,CO,HI,A,27.2,2.8,15.4,9.3,99.0,99.7,28.1
M,FC,HI,A,26.2,8.4,16.4,59.5,54.3,74.3,28
L,FO,VH,A,17.8,9.5,73.7,2.3,5.9,27.8,27.9
L,CO,VH,A,6.4,8.3,31.1,35.6,58.9,28.1,28.1
M,SP,HI,A,9.1,4.1,9.3,21.3,100.0,65.3,27.9
M,CO,VH,B,16.0,7.0,44.8,16.4,11.0,12.5,27.8
L,CO,VH,A,24.0,6.3,10.9,50.2,40.4,11.5,28.2
XL,FC,VH,A,8.3,2.1,20.3,43.4,13.5,25.1,27.9
XL,CO,VH,A,16.3,8.5,13.2,20.6,31.9,66.0,28.1
L,FO,VH,A,22.7,9.9,32.1,36.2,6.8,10.5,27.5
M,FO,VH,A,5.3,3.5,43.6,8.9,34.1,90.2,27.7
S,SP,HI,A,8.0,4.7,69.3,14.2,100.0,45.2,27.4
M,FC,HI,A,10.8,2.8,62.3,9.6,100.0,4.6,27.3
M,FC,VH,B,16.8,4.3,74.8,18.4,16.7,25.9,27.6
L,FC,MD,A,7.2,9.0,12.1,4.2,6.6,1.4,27.4
M,CO,VH,A,25.1,4.6,47.5,34.0,23.5,13.0,27.5
L,FC,VH,A,6.1,3.6,32.8,34.1,69.2,57.1,27.2
M,CO,VH,A,30.2,9.6,23.5,42.6,71.3,62.2,27.6
L,FC,VH,A,5.3,9.7,21.7,67.4,5.8,5.9,27.4
XL,FC,HI,A,25.1,7.5,39.4,6.2,4.0,10.2,27.1
L,FC,HI,A,27.7,6.6,81.3,8.4,11.2,16.6,26.7
XL,FC,MD,B,16.8,9.3,16.1,2.1,6.8,2.4,26.9
S,FO,VH,B,10.5,8.4,38.9,19.9,48.4,21.1,26.9
XL,FC,HI,A,25.1,2.7,59.0,12.0,3.5,12.1,26.7
XL,FC,VH,A,11.1,8.3,14.2,21.5,7.1,13.4,26.8
XL,CO,VH,A,8.4,3.8,7.9,30.3,8.9,22.2,26.9
L,FO,VH,A,25.6,8.4,2.8,81.1,27.1,25.7,27.1
L,FC,VH,A,11.3,8.4,48.0,33.1,11.6,6.5,26.9
L,FC,VH,A,31.2,5.8,75.3,21.5,19.2,23.6,27
L,CO,HI,B,30.1,9.1,30.0,10.3,7.5,32.0,26.5
L,FC,HI,B,7.4,9.3,76.1,7.2,12.4,28.9,26.6
XL,FC,VH,A,14.1,9.9,18.1,52.0,12.7,8.1,26.5
XL,CO,VH,A,10.7,6.7,14.2,42.1,21.9,23.7,26.5
M,CO,VH,A,20.7,5.7,24.9,27.6,67.4,24.0,26.4
L,CO,HI,A,4.5,9.6,17.0,17.7,52.8,37.1,26.5
XL,FC,MD,A,7.0,5.1,77.4,1.4,100.0,24.5,26.6
L,CO,VH,A,22.1,4.4,8.3,23.2,10.5,8.8,26.4
M,FO,VH,A,12.0,4.8,9.7,84.3,8.8,1.3,26.4
XL,CO,VH,A,3.5,5.1,30.6,49.7,7.5,4.2,26.5
M,CO,VH,A,29.5,5.8,30.6,34.4,61.8,43.4,26.2
XL,FC,HI,A,15.2,7.8,13.2,2.7,2.4,7.1,26.2
M,FO,VH,B,28.3,6.1,69.0,46.5,3.9,8.3,26.3
L,CO,VH,A,29.9,2.9,28.9,23.5,25.3,11.0,26.1
L,FC,VH,A,22.8,4.2,14.5,48.7,33.7,13.8,26.3
L,FO,VH,A,18.2,5.5,33.9,5.9,8.5,7.5,26
XL,CO,VH,B,27.4,6.1,10.6,17.9,16.3,14.6,26.3
XL,FC,VH,A,20.5,4.3,3.7,46.4,1.6,1.4,25.9
L,CO,VH,A,15.6,7.1,25.6,23.0,29.1,20.9,25.9
L,FC,HI,A,12.8,5.9,7.8,11.7,2.7,1.7,26.1
M,FC,VH,A,24.4,2.3,17.7,78.4,11.2,15.1,26.2
M,CO,VH,A,30.5,5.2,5.6,33.0,19.1,16.5,25.8
L,SP,VH,A,25.5,7.8,26.0,9.5,5.9,42.3,25.7
XL,FC,VH,A,16.3,5.4,49.0,20.1,16.7,3.3,25.6
M,CO,LO,A,28.6,3.7,92.6,10.4,19.5,9.4,25.3
XL,SP,VH,A,30.6,5.5,21.1,10.9,3.2,33.6,25.2
L,FC,VH,A,18.8,3.8,34.7,21.8,8.1,11.1,25.2
XL,FC,VH,A,15.7,7.0,27.4,10.8,5.9,3.3,25.8
M,FC,MD,B,22.1,6.2,70.2,2.2,59.9,9.3,25.6
L,CO,VH,A,9.5,5.6,9.5,40.9,46.9,15.5,25.3
L,CO,HI,A,1.1,2.3,73.5,1.7,13.5,19.2,25.3
M,CO,VH,B,100.0,100.0,100.0,99.8,100.0,95.5,100.0
L,FC,VH,B,100.0,100.0,100.0,99.0,99.8,70.5,98.6
L,FC,VH,B,100.0,100.0,99.3,99.8,92.1,75.7,98.5
S,CO,VH,B,98.7,81.2,100.0,100.0,96.8,90.3,97.2
L,FC,VH,A,100.0,100.0,100.0,83.0,99.6,98.8,96.8
L,FC,VH,A,100.0,100.0,100.0,77.2,99.4,97.9,95.6
L,CO,VH,A,98.2,96.2,82.4,98.7,100.0,98.6,95.3
L,FC,VH,A,98.7,99.9,99.9,67.8,100.0,100.0,93.3
L,FC,VH,B,99.6,90.7,97.4,83.6,74.2,82.5,93.2
XL,FC,VH,A,99.3,99.2,99.2,66.2,98.7,100.0,92.9
XL,FC,VH,A,99.8,99.1,91.8,72.8,100.0,80.7,92.0
L,FC,VH,A,90.3,92.6,95.0,87.5,100.0,83.5,91.3
M,CO,VH,B,99.9,96.7,70.3,100.0,70.1,69.2,90.9
L,FC,VH,B,98.7,90.5,70.4,95.9,93.3,77.0,90.5
L,FC,VH,B,99.9,99.7,100.0,60.2,86.3,61.2,89.6
L,FC,VH,B,99.7,97.4,100.0,59.2,40.4,96.2,88.5
XL,FC,VH,A,97.0,99.4,91.5,77.4,60.6,29.2,87.2
L,FC,VH,A,97.3,94.0,85.5,57.2,97.4,98.8,86.9
L,FC,VH,B,95.4,92.6,100.0,59.7,72.1,65.2,86.5
XL,FC,VH,A,98.9,90.2,94.3,60.5,82.3,49.8,86.4
L,FC,VH,B,89.7,56.9,100.0,80.2,79.9,81.6,85.9
M,FO,VH,A,72.8,78.2,94.5,98.9,100.0,100.0,85.8
L,FC,VH,A,100.0,99.5,94.2,72.2,12.3,25.5,85.3
L,FC,VH,A,97.1,82.6,47.9,87.8,100.0,99.5,84.4
L,FC,VH,A,96.7,83.7,88.1,47.1,100.0,99.4,84.3
L,FC,VH,B,88.2,74.7,99.3,88.2,14.3,55.0,83.9
XL,FC,VH,A,100.0,99.8,28.9,99.9,99.5,46.1,83.2
XL,FC,VH,A,98.7,94.0,74.8,47.6,96.4,92.9,83.0
XL,FC,VH,A,94.6,98.5,76.0,51.2,93.2,98.8,82.9
XL,FC,VH,A,99.0,99.8,64.0,69.4,68.2,53.8,82.6
L,FC,VH,A,87.7,83.2,85.1,59.9,98.6,99.7,82.5
XL,FC,VH,A,100.0,99.1,41.8,92.4,56.1,42.0,81.9
L,FC,VH,A,91.4,93.1,73.0,58.3,90.4,96.2,81.7
L,FC,VH,B,85.0,73.1,99.8,68.4,72.0,54.8,81.5
L,FC,VH,A,98.6,93.2,95.7,56.6,17.4,18.2,81.2
L,FC,VH,A,96.2,92.7,87.7,66.5,22.1,14.0,80.6
M,CO,VH,A,83.6,73.0,61.8,89.0,100.0,87.9,80.5
M,SP,VH,A,84.2,99.9,47.0,84.6,100.0,100.0,80.2
XL,FC,VH,A,99.0,98.8,26.5,76.4,97.6,99.9,80.1
M,CO,VH,A,83.2,78.3,79.5,98.5,26.4,9.8,78.7
XL,FC,VH,A,91.7,56.1,62.1,84.5,64.9,70.7,78.6
XL,FC,VH,A,97.2,97.0,24.9,72.7,100.0,99.8,78.3
XL,FC,VH,B,95.6,91.3,97.3,23.7,28.4,90.9,77.7
XL,FC,VH,A,81.8,95.9,84.7,58.6,89.3,39.2,77.6
XL,FC,VH,A,90.4,96.7,23.8,81.6,100.0,97.4,77.0
L,FC,VH,B,78.5,79.0,45.7,95.4,78.3,100.0,76.6
XL,FC,VH,A,96.7,88.1,37.6,60.7,92.2,77.7,75.8
XL,FC,VH,A,87.3,79.9,29.9,83.4,100.0,97.6,75.7
L,FC,VH,A,86.1,62.7,75.9,49.5,100.0,91.2,75.6
L,CO,VH,A,80.3,99.3,99.9,26.6,67.7,84.2,75.1
L,FC,VH,A,75.6,89.4,75.9,63.8,84.4,66.4,74.9
L,CO,VH,A,69.3,83.9,48.5,90.2,98.6,86.7,73.3
XL,FC,VH,A,88.5,51.2,87.4,52.6,58.8,30.6,73.2
L,FC,VH,A,73.8,96.1,62.4,56.1,98.4,99.3,72.9
M,CO,VH,A,55.6,39.2,90.9,88.7,100.0,97.3,72.1
M,FC,VH,B,62.5,52.7,81.2,89.8,88.1,58.3,72.0
L,FC,VH,A,79.2,51.8,58.5,81.6,80.1,40.3,71.1
M,CO,VH,A,74.6,80.0,90.4,59.8,31.0,27.1,71.0
XL,FC,VH,A,86.7,93.1,15.3,65.9,100.0,99.0,70.4
XL,FC,VH,A,77.8,96.1,39.4,85.0,77.4,15.6,70.4
XL,CO,VH,A,78.1,98.3,88.8,23.9,59.5,63.9,70.0
XL,FC,VH,A,90.0,84.4,51.8,47.1,60.2,38.8,69.4
XL,FC,VH,A,93.8,78.1,14.7,94.1,7.3,20.4,68.7
L,FC,VH,A,78.4,55.4,91.4,36.8,53.6,52.4,68.0
S,CO,VH,A,46.8,99.7,99.9,47.3,95.4,95.8,67.9
XL,FC,VH,A,85.0,46.5,21.0,99.5,58.6,38.4,67.8
L,FC,VH,A,79.4,70.5,81.3,52.2,23.9,15.5,67.7
XL,FC,VH,A,65.6,85.0,60.9,69.2,86.9,45.1,67.5
L,CO,VH,A,73.5,74.6,23.5,100.0,42.4,70.9,67.4
L,FC,VH,A,70.4,59.6,60.7,57.2,94.3,96.7,67.4
XL,FC,VH,A,89.1,53.6,15.9,90.7,20.7,70.0,67.0
XL,FC,VH,A,88.6,70.7,40.2,68.7,16.6,19.8,66.3
XL,FC,VH,A,86.1,91.6,79.1,2.5,53.4,68.5,66.2
L,FC,VH,A,57.1,94.1,38.0,82.5,95.5,87.5,65.7
XL,FC,VH,A,88.4,46.6,59.4,39.7,41.4,54.6,64.8
L,FC,VH,A,61.0,64.1,64.5,58.8,88.9,94.2,64.8
L,FC,VH,A,68.7,61.8,98.4,45.7,14.5,18.2,64.3
L,FC,VH,A,55.6,70.8,99.0,31.8,100.0,59.2,63.6
L,FC,VH,A,63.6,84.9,53.6,48.5,91.5,88.2,63.5
XL,FC,VH,A,67.2,47.0,99.9,28.8,91.6,28.0,63.5
XL,FC,VH,A,76.5,60.8,13.4,87.1,89.6,39.8,63.4
L,FC,VH,A,61.3,79.5,60.4,47.5,93.5,83.8,63.1
S,FO,VH,B,38.7,49.2,99.8,99.6,46.6,5.4,63.0
L,FC,VH,A,68.1,43.1,95.5,49.6,31.7,12.7,63.0
L,FC,VH,A,82.7,59.4,21.3,52.3,87.0,91.3,62.8
L,FC,VH,B,66.7,84.7,86.8,34.8,16.9,44.2,62.7
M,FC,VH,B,38.7,18.5,85.6,96.0,89.6,85.3,62.6
L,FC,VH,A,63.9,57.7,93.5,32.6,55.9,61.2,62.6
XL,FC,VH,A,64.8,55.6,81.7,41.3,81.8,41.2,62.4
XL,FO,VH,A,71.3,78.2,99.7,6.7,16.6,73.1,62.3
L,FC,VH,A,60.0,58.6,24.0,88.4,100.0,94.7,62.2
L,FC,VH,A,67.2,52.6,57.4,51.2,89.6,71.8,62.1
L,FC,VH,B,62.4,66.0,70.8,51.9,28.6,87.0,62.0
XL,FC,VH,A,67.1,83.8,49.9,41.7,84.6,81.6,62.0
XL,FC,VH,A,77.7,70.4,26.8,77.8,14.1,40.3,61.9
L,FC,VH,A,53.1,53.4,65.5,62.4,95.3,89.4,61.6
M,FC,VH,A,43.2,47.7,69.0,77.0,99.0,99.9,61.4
L,CO,VH,A,53.7,35.9,74.2,98.4,15.9,5.9,60.8
M,FO,VH,A,29.7,51.2,82.1,94.9,97.7,47.5,59.8
XL,FC,VH,A,65.7,60.7,35.2,58.3,97.5,69.2,59.5
L,FC,VH,B,55.0,81.8,88.3,43.5,21.1,34.0,59.5
XL,FC,VH,A,71.4,40.4,33.8,73.5,56.7,49.5,59.5
L,FC,VH,B,43.4,18.7,99.8,67.2,74.1,60.1,59.5
L,CO,VH,A,45.5,69.5,60.5,75.2,95.1,42.6,59.3
L,FC,VH,A,58.8,55.6,39.9,63.1,98.7,91.2,59.3
L,CO,VH,A,58.0,39.3,65.2,49.2,99.6,78.6,59.1
L,FC,VH,B,59.8,81.6,86.1,33.4,17.2,38.0,58.9
L,FC,VH,A,48.0,27.8,56.9,75.0,100.0,98.6,58.4
XL,FC,VH,A,56.9,45.7,60.7,48.5,93.4,81.3,58.1
L,CO,VH,A,61.7,46.9,74.8,51.0,56.7,8.2,57.9
L,FC,VH,A,60.9,45.7,95.8,35.4,17.8,21.0,57.3
M,FO,VH,A,27.8,30.4,99.9,69.6,99.3,79.4,57.1
XL,FC,VH,A,89.3,87.1,50.8,4.0,20.4,3.9,56.8
L,FC,VH,A,56.8,46.7,31.1,65.2,97.0,99.0,56.6
XL,FC,VH,B,57.0,51.4,40.4,66.9,45.5,87.1,56.2
L,CO,VH,A,46.0,92.4,38.3,71.0,61.6,63.3,55.9
L,FC,VH,A,63.3,37.1,47.3,58.9,62.2,45.3,55.8
XL,FC,VH,A,87.2,80.4,28.2,30.7,9.6,4.3,55.5
L,FC,VH,A,50.0,42.4,48.2,57.5,97.2,99.5,55.4
L,FC,VH,A,47.7,30.3,62.7,53.6,93.6,99.4,55.2
XL,FC,HI,A,86.9,57.8,13.6,33.9,60.7,36.9,55.1
L,FC,VH,A,65.1,29.1,33.6,65.4,78.5,43.3,55.0
XL,FC,VH,A,58.5,41.2,26.2,87.8,75.3,16.3,55.0
XL,FC,VH,A,59.8,37.7,46.4,69.3,46.1,25.1,54.5
L,FO,VH,A,37.3,18.1,95.8,60.6,38.4,86.6,54.4
L,FC,VH,A,54.8,56.6,89.8,32.4,17.7,21.5,54.1
XL,FC,VH,A,54.8,29.1,52.5,78.0,30.6,29.0,54.1
M,CO,VH,B,28.8,67.3,69.4,69.0,94.0,56.1,53.6
L,FC,VH,A,55.5,54.6,87.2,33.3,19.5,14.6,53.6
XL,FC,HI,A,78.4,49.1,6.8,49.6,64.0,50.5,53.4
L,FC,HI,A,38.8,32.8,51.6,70.4,95.4,98.1,53.0
L,FC,HI,B,83.0,93.4,32.6,12.1,20.0,5.1,52.9
L,CO,VH,A,64.6,16.7,13.0,95.5,50.6,20.8,52.9
L,FC,VH,A,42.9,44.2,57.9,55.6,92.0,68.2,52.4
L,FC,VH,A,49.2,26.1,69.9,47.8,82.6,36.5,51.9
L,FC,VH,A,44.5,20.5,98.7,47.5,29.5,22.6,51.8
S,FO,VH,A,17.4,100.0,87.7,43.1,74.3,90.6,51.5
XL,FC,VH,A,48.9,33.0,83.2,37.3,62.8,20.3,51.3
M,CO,VH,A,28.8,34.6,54.7,88.1,100.0,48.3,51.1
M,FO,VH,A,36.4,48.2,56.6,68.6,85.4,39.4,50.8
L,FC,VH,A,49.6,48.6,51.5,50.7,85.0,23.7,50.7
XL,FC,VH,A,61.4,54.8,19.3,56.3,65.0,42.7,50.7
L,FC,VH,A,38.8,62.2,62.2,39.1,93.0,79.1,50.7
XL,FC,VH,A,56.4,97.7,21.8,42.1,39.2,64.9,50.4
L,FC,VH,A,47.5,44.7,56.3,39.3,72.0,79.8,50.3
L,FC,VH,A,39.5,44.1,81.0,32.9,97.8,42.0,50.1
L,CO,VH,A,52.3,80.2,45.6,34.8,35.2,60.3,49.9
L,FC,VH,B,27.2,12.3,99.6,62.0,52.7,47.4,49.6
XL,FC,VH,A,52.9,54.6,41.6,31.1,95.8,68.0,49.5
L,CO,VH,A,33.4,20.9,82.3,44.2,99.5,72.7,49.5
L,FC,VH,B,43.5,67.8,78.6,30.6,27.6,37.3,49.4
L,FC,VH,A,40.0,37.6,72.3,31.3,81.1,94.6,49.4
S,CO,VH,A,37.5,11.7,99.3,40.8,71.0,26.3,49.2
L,FC,VH,A,40.1,31.9,81.8,46.8,67.1,13.8,49.1
L,FC,VH,A,36.5,65.1,36.4,58.8,92.9,83.3,49.1
XL,FO,VH,A,57.1,85.9,7.5,55.8,45.8,44.3,48.7
XL,FC,VH,A,66.9,25.6,27.3,61.8,8.1,21.5,48.7
L,CO,VH,A,35.5,71.6,28.3,59.9,97.4,91.2,48.6
L,FC,VH,A,63.2,69.0,47.8,23.7,11.6,25.7,48.5
L,FC,VH,A,29.9,23.4,31.6,92.0,100.0,84.7,48.4
L,CO,VH,A,41.3,83.5,11.7,57.0,98.8,94.4,48.4
M,CO,VH,A,52.5,72.9,43.3,54.1,4.4,1.8,48.2
L,CO,VH,A,44.5,47.0,25.9,88.2,32.5,17.9,48.0
XL,CO,VH,A,38.0,70.7,9.2,77.9,79.6,83.9,48.0
L,FC,VH,B,48.6,45.6,15.6,67.6,90.8,52.3,47.9
XL,FC,VH,A,69.9,48.9,34.0,30.1,6.4,32.7,47.8
S,FC,VH,A,14.9,9.0,94.4,97.1,2.1,46.1,47.7
L,FC,VH,A,45.1,28.4,90.5,18.0,61.5,35.9,47.6
XL,FC,VH,A,46.1,21.6,13.7,86.0,52.4,84.6,47.5
S,SP,VH,A,35.0,16.3,55.8,100.0,1.6,2.0,47.1
M,FC,VH,A,30.8,11.0,81.0,59.8,88.1,14.5,46.8
M,CO,VH,A,46.8,65.5,21.0,84.0,3.1,1.6,46.6
L,FC,VH,A,28.6,33.1,48.3,62.0,97.7,96.5,46.6
M,FO,VH,A,21.5,24.9,44.5,90.2,92.4,77.1,46.6
S,FO,VH,A,19.0,7.2,99.6,81.6,11.9,23.3,46.4
XL,FC,VH,A,60.8,35.7,26.6,17.4,98.4,93.4,46.4
L,FC,VH,A,48.6,40.1,21.7,50.9,100.0,65.6,46.4
L,FC,HI,B,33.2,82.3,88.4,3.9,99.6,22.2,46.2
L,FO,VH,A,34.1,45.4,43.1,59.3,74.1,71.6,46.1
L,FC,VH,A,27.3,37.6,44.3,62.3,99.5,96.9,45.9
XL,FC,VH,A,72.1,49.6,7.3,46.2,10.5,14.6,45.9
XL,FC,VH,A,48.2,35.7,71.5,33.1,21.6,17.8,45.9
M,FC,VH,B,21.9,34.5,79.5,77.0,5.0,37.4,45.8
L,FC,VH,A,47.4,33.6,80.9,13.7,44.1,38.4,45.5
M,FC,VH,B,24.4,9.3,100.0,36.0,60.7,89.3,45.5
M,FC,VH,B,20.6,11.3,97.4,53.5,43.2,72.2,45.4
L,FC,VH,A,50.1,27.0,33.9,52.5,59.3,45.9,45.4
M,FC,VH,A,24.2,29.4,95.6,29.2,84.1,65.4,45.2
M,CO,VH,A,24.4,29.7,93.9,33.6,100.0,35.9,45.1
XL,CO,VH,A,37.5,30.0,69.4,51.5,38.4,15.7,45.0
XL,FC,VH,A,33.4,72.5,82.4,20.7,35.5,36.4,44.9
L,FC,VH,A,38.6,40.1,65.2,49.5,29.5,17.0,44.8
XL,FC,VH,A,63.0,35.9,21.0,44.1,26.4,28.3,44.7
L,FC,VH,A,42.4,49.0,27.1,46.2,96.2,65.1,44.7
L,CO,VH,A,33.6,41.6,38.3,49.1,93.5,91.2,44.4
L,FC,VH,B,29.1,20.0,100.0,37.6,25.7,36.0,44.4
XL,FC,VH,A,50.1,19.7,68.5,23.8,47.0,27.5,44.3
XL,FC,VH,B,51.1,77.0,63.5,9.7,13.4,11.1,44.1
L,FO,VH,A,30.3,61.9,6.7,79.6,74.1,91.4,44.0
L,CO,VH,A,51.8,20.3,29.5,51.6,78.7,17.5,43.9
L,FC,VH,A,45.6,47.7,31.0,43.8,72.1,44.8,43.9
L,FC,VH,A,41.0,33.2,67.3,19.7,55.9,74.4,43.8
XL,FC,VH,A,59.1,48.0,14.1,51.8,20.3,14.5,43.5
L,FC,VH,A,29.4,13.4,50.2,79.5,55.3,28.4,43.3
L,FC,VH,A,65.6,45.2,27.0,31.0,11.1,5.1,43.3
XL,FC,VH,A,65.6,73.0,24.8,14.9,3.4,29.5,43.2
L,FC,VH,A,45.9,40.9,64.3,19.6,36.0,37.5,43.0
M,CO,VH,A,26.7,37.1,52.3,68.0,38.5,43.0,42.6
XL,FC,HI,A,68.8,84.1,14.4,13.6,11.4,8.3,42.6
XL,CO,VH,B,56.1,86.0,33.1,8.2,30.2,34.5,42.6
L,CO,VH,A,21.8,22.7,28.8,78.9,97.5,100.0,42.5
XL,CO,VH,A,41.6,27.0,12.2,70.6,64.5,61.6,42.3
L,CO,VH,B,30.3,30.8,58.6,55.6,61.9,20.8,42.3
L,FC,VH,A,46.4,28.9,48.2,38.8,22.7,37.7,42.0
L,FC,VH,A,31.2,26.2,34.6,54.0,99.8,82.3,42.0
L,FC,VH,A,29.7,63.5,10.1,70.1,99.6,51.9,42.0
XL,FC,VH,A,69.9,36.1,5.6,41.2,5.2,9.5,41.8
L,FO,VH,A,28.8,63.4,33.0,44.5,81.7,76.1,41.4
L,FC,VH,A,28.3,37.2,22.3,63.2,95.9,86.9,41.4
L,CO,HI,A,33.4,48.9,99.3,1.2,34.4,23.0,41.3
M,SP,VH,A,25.0,42.5,90.0,4.3,56.3,99.0,41.0
L,CO,VH,A,43.6,30.2,14.8,47.6,99.4,59.5,41.0
L,FC,VH,A,44.8,22.9,60.5,27.0,36.3,25.2,40.9
L,FC,VH,A,22.6,22.7,94.8,25.5,65.4,42.7,40.9
